w  L  F   dF   ddF gamma2
1.250000000000000000e+00  1.500000000000000000e+00  2.038999999999999979e-01  -6.290000000000000036e-01  -7.411999999999999700e-01  -1.000000000000000000e+00
1.260000000000000009e+00  1.479999999999999982e+00  1.975999999999999979e-01  -6.363999999999999657e-01  -7.328999999999999959e-01  -1.000000000000000000e+00
1.270000000000000018e+00  1.459999999999999964e+00  1.912000000000000088e-01  -6.435999999999999499e-01  -7.247000000000000108e-01  -1.000000000000000000e+00
1.280000000000000027e+00  1.439999999999999947e+00  1.847000000000000031e-01  -6.508000000000000451e-01  -7.164000000000000368e-01  -1.000000000000000000e+00
1.290000000000000036e+00  1.419999999999999929e+00  1.781000000000000083e-01  -6.580000000000000293e-01  -7.080999999999999517e-01  -1.000000000000000000e+00
1.300000000000000044e+00  1.399999999999999911e+00  1.715000000000000135e-01  -6.650000000000000355e-01  -6.997999999999999776e-01  -1.000000000000000000e+00
1.310000000000000053e+00  1.379999999999999893e+00  1.648000000000000020e-01  -6.720000000000000417e-01  -6.915000000000000036e-01  -1.000000000000000000e+00
1.320000000000000062e+00  1.360000000000000098e+00  1.580999999999999905e-01  -6.787999999999999590e-01  -6.833000000000000185e-01  -1.000000000000000000e+00
1.330000000000000071e+00  1.340000000000000080e+00  1.512999999999999901e-01  -6.855999999999999872e-01  -6.750000000000000444e-01  -1.000000000000000000e+00
1.340000000000000080e+00  1.320000000000000062e+00  1.444000000000000006e-01  -6.923000000000000265e-01  -6.666999999999999593e-01  -1.000000000000000000e+00
1.350000000000000089e+00  1.300000000000000044e+00  1.373999999999999944e-01  -6.989999999999999547e-01  -6.584999999999999742e-01  -1.000000000000000000e+00
1.360000000000000098e+00  1.280000000000000027e+00  1.303999999999999881e-01  -7.055000000000000160e-01  -6.502000000000000002e-01  -1.000000000000000000e+00
1.370000000000000107e+00  1.260000000000000009e+00  1.233000000000000068e-01  -7.119999999999999662e-01  -6.420000000000000151e-01  -1.000000000000000000e+00
1.379999999999999893e+00  1.239999999999999991e+00  1.161999999999999977e-01  -7.183000000000000496e-01  -6.337000000000000410e-01  -1.000000000000000000e+00
1.389999999999999902e+00  1.219999999999999973e+00  1.088999999999999968e-01  -7.246000000000000218e-01  -6.254999999999999449e-01  -1.000000000000000000e+00
1.399999999999999911e+00  1.199999999999999956e+00  1.016999999999999987e-01  -7.308999999999999941e-01  -6.172999999999999599e-01  -1.000000000000000000e+00
1.409999999999999920e+00  1.179999999999999938e+00  9.429999999999999494e-02  -7.369999999999999885e-01  -6.090999999999999748e-01  -1.000000000000000000e+00
1.419999999999999929e+00  1.159999999999999920e+00  8.690000000000000502e-02  -7.429999999999999938e-01  -6.008999999999999897e-01  -1.000000000000000000e+00
1.429999999999999938e+00  1.139999999999999902e+00  7.950000000000000122e-02  -7.489999999999999991e-01  -5.927999999999999936e-01  -1.000000000000000000e+00
1.439999999999999947e+00  1.120000000000000107e+00  7.190000000000000557e-02  -7.549000000000000155e-01  -5.846999999999999975e-01  -1.000000000000000000e+00
1.449999999999999956e+00  1.100000000000000089e+00  6.439999999999999891e-02  -7.607000000000000428e-01  -5.765000000000000124e-01  -1.000000000000000000e+00
1.459999999999999964e+00  1.080000000000000071e+00  5.670000000000000040e-02  -7.663999999999999702e-01  -5.684000000000000163e-01  -1.000000000000000000e+00
1.469999999999999973e+00  1.060000000000000053e+00  4.900000000000000189e-02  -7.721000000000000085e-01  -5.604000000000000092e-01  -1.000000000000000000e+00
1.479999999999999982e+00  1.040000000000000036e+00  4.130000000000000338e-02  -7.775999999999999579e-01  -5.523000000000000131e-01  -1.000000000000000000e+00
1.489999999999999991e+00  1.020000000000000018e+00  3.350000000000000200e-02  -7.831000000000000183e-01  -5.443000000000000060e-01  -1.000000000000000000e+00
1.500000000000000000e+00  1.000000000000000000e+00  2.560000000000000123e-02  -7.884999999999999787e-01  -5.362999999999999989e-01  -1.000000000000000000e+00
1.510000000000000009e+00  9.799999999999999822e-01  1.770000000000000046e-02  -7.937999999999999501e-01  -5.282999999999999918e-01  -1.000000000000000000e+00
