w  L  F   dF   ddF gamma2
1.330000000000000071e+00  7.339999999999999858e+00  1.457799999999999985e+00  5.128000000000000336e-01  -8.255000000000000115e-01  -8.610999999999999766e-01
1.340000000000000080e+00  7.320000000000000284e+00  1.462900000000000089e+00  5.046000000000000485e-01  -8.241000000000000547e-01  -8.610999999999999766e-01
1.350000000000000089e+00  7.299999999999999822e+00  1.467899999999999983e+00  4.963000000000000189e-01  -8.226999999999999869e-01  -8.610999999999999766e-01
1.360000000000000098e+00  7.280000000000000249e+00  1.472800000000000109e+00  4.880999999999999783e-01  -8.212000000000000410e-01  -8.610999999999999766e-01
1.370000000000000107e+00  7.259999999999999787e+00  1.477600000000000025e+00  4.798999999999999932e-01  -8.197999999999999732e-01  -8.610999999999999766e-01
1.379999999999999893e+00  7.240000000000000213e+00  1.482399999999999940e+00  4.717000000000000082e-01  -8.183000000000000274e-01  -8.610999999999999766e-01
1.389999999999999902e+00  7.219999999999999751e+00  1.487100000000000088e+00  4.635000000000000231e-01  -8.167999999999999705e-01  -8.610999999999999766e-01
1.399999999999999911e+00  7.200000000000000178e+00  1.491700000000000026e+00  4.554000000000000270e-01  -8.153000000000000247e-01  -8.610999999999999766e-01
1.409999999999999920e+00  7.179999999999999716e+00  1.496199999999999974e+00  4.471999999999999864e-01  -8.137999999999999678e-01  -8.610999999999999766e-01
1.419999999999999929e+00  7.160000000000000142e+00  1.500599999999999934e+00  4.390999999999999903e-01  -8.122000000000000330e-01  -8.610999999999999766e-01
1.429999999999999938e+00  7.139999999999999680e+00  1.504999999999999893e+00  4.309999999999999942e-01  -8.105999999999999872e-01  -8.610999999999999766e-01
1.439999999999999947e+00  7.120000000000000107e+00  1.509200000000000097e+00  4.228999999999999981e-01  -8.091000000000000414e-01  -8.610999999999999766e-01
1.449999999999999956e+00  7.099999999999999645e+00  1.513400000000000079e+00  4.148000000000000020e-01  -8.074999999999999956e-01  -8.610999999999999766e-01
1.459999999999999964e+00  7.080000000000000071e+00  1.517500000000000071e+00  4.067999999999999949e-01  -8.057999999999999607e-01  -8.610999999999999766e-01
1.469999999999999973e+00  7.059999999999999609e+00  1.521500000000000075e+00  3.986999999999999988e-01  -8.042000000000000259e-01  -8.610999999999999766e-01
1.479999999999999982e+00  7.040000000000000036e+00  1.525500000000000078e+00  3.906999999999999917e-01  -8.025999999999999801e-01  -8.610999999999999766e-01
1.489999999999999991e+00  7.019999999999999574e+00  1.529400000000000093e+00  3.825999999999999956e-01  -8.008999999999999453e-01  -8.610999999999999766e-01
1.500000000000000000e+00  7.000000000000000000e+00  1.533099999999999907e+00  3.745999999999999885e-01  -7.992000000000000215e-01  -8.610999999999999766e-01
1.510000000000000009e+00  6.980000000000000426e+00  1.536899999999999933e+00  3.667000000000000259e-01  -7.974999999999999867e-01  -8.610999999999999766e-01
1.520000000000000018e+00  6.959999999999999964e+00  1.540499999999999980e+00  3.587000000000000188e-01  -7.957999999999999519e-01  -8.610999999999999766e-01
