w  L  F   dF   ddF gamma2
1.070000000000000062e+00  7.860000000000000320e+00  2.878400000000000070e+00  1.526499999999999968e+00  -2.077700000000000102e+00  -4.000000000000000000e+00
1.080000000000000071e+00  7.839999999999999858e+00  2.893499999999999961e+00  1.505800000000000027e+00  -2.071800000000000086e+00  -4.000000000000000000e+00
1.090000000000000080e+00  7.820000000000000284e+00  2.908500000000000085e+00  1.485100000000000087e+00  -2.065799999999999859e+00  -4.000000000000000000e+00
1.100000000000000089e+00  7.799999999999999822e+00  2.923200000000000021e+00  1.464399999999999924e+00  -2.059699999999999864e+00  -4.000000000000000000e+00
1.110000000000000098e+00  7.780000000000000249e+00  2.937800000000000189e+00  1.443899999999999961e+00  -2.053500000000000103e+00  -4.000000000000000000e+00
1.120000000000000107e+00  7.759999999999999787e+00  2.952100000000000168e+00  1.423399999999999999e+00  -2.047299999999999898e+00  -4.000000000000000000e+00
1.129999999999999893e+00  7.740000000000000213e+00  2.966200000000000170e+00  1.402900000000000036e+00  -2.040900000000000158e+00  -4.000000000000000000e+00
1.139999999999999902e+00  7.719999999999999751e+00  2.980100000000000193e+00  1.382600000000000051e+00  -2.034400000000000208e+00  -4.000000000000000000e+00
1.149999999999999911e+00  7.700000000000000178e+00  2.993900000000000006e+00  1.362200000000000077e+00  -2.027899999999999814e+00  -4.000000000000000000e+00
1.159999999999999920e+00  7.679999999999999716e+00  3.007400000000000073e+00  1.342000000000000082e+00  -2.021199999999999886e+00  -4.000000000000000000e+00
1.169999999999999929e+00  7.660000000000000142e+00  3.020700000000000163e+00  1.321800000000000086e+00  -2.014499999999999957e+00  -4.000000000000000000e+00
1.179999999999999938e+00  7.639999999999999680e+00  3.033799999999999830e+00  1.301700000000000079e+00  -2.007600000000000051e+00  -4.000000000000000000e+00
1.189999999999999947e+00  7.620000000000000107e+00  3.046699999999999964e+00  1.281700000000000061e+00  -2.000700000000000145e+00  -4.000000000000000000e+00
1.199999999999999956e+00  7.599999999999999645e+00  3.059499999999999886e+00  1.261700000000000044e+00  -1.993700000000000028e+00  -4.000000000000000000e+00
1.209999999999999964e+00  7.580000000000000071e+00  3.072000000000000064e+00  1.241800000000000015e+00  -1.986599999999999921e+00  -4.000000000000000000e+00
1.219999999999999973e+00  7.559999999999999609e+00  3.084299999999999820e+00  1.221999999999999975e+00  -1.979500000000000037e+00  -4.000000000000000000e+00
1.229999999999999982e+00  7.540000000000000036e+00  3.096400000000000041e+00  1.202199999999999935e+00  -1.972199999999999953e+00  -4.000000000000000000e+00
1.239999999999999991e+00  7.519999999999999574e+00  3.108299999999999841e+00  1.182500000000000107e+00  -1.964900000000000091e+00  -4.000000000000000000e+00
1.250000000000000000e+00  7.500000000000000000e+00  3.120099999999999874e+00  1.162900000000000045e+00  -1.957400000000000029e+00  -4.000000000000000000e+00
1.260000000000000009e+00  7.480000000000000426e+00  3.131600000000000161e+00  1.143399999999999972e+00  -1.949899999999999967e+00  -4.000000000000000000e+00
1.270000000000000018e+00  7.459999999999999964e+00  3.142900000000000027e+00  1.123899999999999899e+00  -1.942399999999999904e+00  -4.000000000000000000e+00
1.280000000000000027e+00  7.440000000000000391e+00  3.154100000000000126e+00  1.104500000000000037e+00  -1.934700000000000086e+00  -4.000000000000000000e+00
